,jobtitle,jobdescription
96,(US)-Program Manager Senior,"Responsible for managing one or more highly complex IT program(s) consisting of multiple projects. The program manager will be managing a transformation initiative to migrate an existing a business onto a new platform to support the Pensions Buyout business. The program manager will be responsible for managing a team of business and IT stakeholders located in multiple locations. The scope of work is comprised of a large functional enhancement effort, along with data conversion, and image migration activities. Drives the program strategy, supporting business case and various enterprise wide high-level project plans. Ensures integration of projects and adjusts project scope, timing, and budgets as needed, based on the needs of the business. Responsible for delivering all projects contained in the IT project portfolio on time, within budget and meeting the strategic and business requirements. Responsible for tracking key project milestones and recommending adjustments to Project Managers. Communicates the program strategy, direction and changes with IT leadership, business leadership and IT business consultants (onshore and offshore). Partners with senior leadership of the business community to identify and prioritize opportunities for utilizing IT to achieve the goals of the program and business objectives. This is a single or multiple incumbent(s) position that typically exists in a small to medium size enterprise with multiple project managers, project leaders and/or project support staff as direct or dotted line reports. The position reports directly to the VP of Application Development. Princeton Information is one of the nation's top five privately-held IT consulting firms, in business since 1985. Princeton Information services a clientele of primarily Fortune 500 companies nationwide. With annual revenues over $120 million, Princeton Information operates across the US from multiple regional offices. Our Commitment to Our Consultants As a privately held company, Princeton Information is solely committed to the success of clients and consultants - not to any shareholders. PI's success is grounded in the relationships we build with our consultants. We seek the best people; provide career path counseling; as well as the most challenging opportunities in business and in IT. As part of its culture of loyalty and commitment to its consultants, Princeton Information is committed to doing all we can to ensure our consultants have the best possible search, placement and work experience possible. Our Services Working with one Princeton Recruiter will gain you access to over 500 open requirements with the top clients in the US across all industries (finance, insurance, pharmaceutical, commercial, telecom, media, manufacturing) nationwide. Our local recruiters have in-depth knowledge of our clients and opportunities. They will work with you to find you the best possible opportunities for you and your career. Our Relationships Our relationships with our clients, as well as our consultants, are critical to our success! We have a robust sales organization that ensures that Princeton has the inside track on what attributes a person needs in order to be successfully placed and engaged at our clients. We know the technical and non-technical skills that our clients are looking for and we ensure that you are educated about the client prior to your interview with them. Princeton is committed to going above and beyond to ensure that each meeting you have with a client is a successful one!"
97,"Business Analyst - Mortgage/Equiting Lending, Lean Six Sigma Green Belt/Black Belt","Job Description: Seeking a Business Process Analyst with industry and functional experience in process re- engineering. Will manage one specific track of the business process re-engineering or improvement efforts as part of a large scale project. Will work with a cross-functional team to re-design business process to align with new technology implementation or business strategy.At the direction of the Business Transformation Leader, assist in establishing clear objectives and deliverables of converting technologies, the look and design of the new platform for the track that supports the business. Schedule and run all phase reviews and track reviews in support of the business process Leader/DirectorTrack progress, report status and make necessary corrections to achieve all track goalsManage risks and issues through effective contingency plans and proper escalation. Organize and lead team meetings and maintain schedule. Analyze and report actual performance vs. business case goals. Work in a self directed environment. Present to track management on program status.Required Skills: Mortgage/Equiting Lending, Lean Six Sigma Green Belt/Black Belt. Don't hesitate! Submit your resume today. SMCI is an EEO employer. All qualified applicants will receive consideration without regard to race, color, religion, sex, pregnancy, national origin, disability, age, genetic information, veteran status, sexual orientation and identity, AIDS/HIV, medical condition, political activities or affiliations, or status as a victim of domestic violence, assault, or stalking. (No third parties, please)(H1 sponsorship currently unavailable)(Local candidates only, please)"
98,DHMSM Operational Medicine Interface Developer,"TAD PGS, INC. is currently seeking a DHMSM Operational Medicine Interface Developer for one of our clients in Vienna, VA.**Per Government Sector, U.S. Citizenship is required Company Description: Our client designs, develops, and sustains offerings that empower diplomatic missions, support war fighter requirements, and advance exploration from the ocean floor to outer space. They maintain leadership positions in supply chain management, hardware integration, and global network integration. They do all this with the constant and deliberate commitment to ethical performance and integrity that has marked their company since its founding. Job Description: Provide support to MHS GENESIS system external interface design, development, integration, test, troubleshooting, and sustainment. Participate in planning and requirements analysis, design, technical review and implementation for new interfaces. Support creation of Interface Control Documents. Provide support to Rhapsody developers and coders. Perform Unit Testing of completed code modules. Develop Assembly Test plans and scripts, and provide support to Assembly Test as necessary. Provide support to integration engineers to complete integration of new interfaces to MHS GENESIS system. Major Responsibilities:Provide engineering support to External Interface Team.Support the full system engineering life-cycle, including requirements analysis, design, development, integration, test, and implementation.Involves substantial knowledge of this technical field and the ability to complete moderately difficult and moderately complex assignments.Receives assignments in the form of objectives and establishes goals to meet objectives. Complete daily assignments and tasks meeting defined best practices and operational workflow.Work is reviewed and measured based on meeting objectives and schedules.Establishes and recommends changes to policies which affect subordinate organization(s).Required Qualifications:Bachelor's degree in a related field and 6 years experience in a broad range of assignments in technical tasks directly related to the proposed area of responsibility.Mid-level systems engineering skills required.Experience with DoD EHR programs (ALTA, TMIP-J) highly valued.TAD PGS, INC. specializes in delivering secure, reliable and rapidly implemented workforce solutions to the U.S. Federal marketplace, including U.S. Government agencies and their prime contractors. With more than 50 years of experience, TAD PGS, INC. has earned a reputation for accountability, a value that government agencies and prime contractors both demand and deserve.TAD PGS, INC. sources professionals for the full spectrum of federal positions, from administrative to management, and those contracts requiring extremely niche-oriented technical skills and the highest levels of security clearance."
99,Information Technology Architect,"Our client, one of the world's leading professional services organizations, is seeking an Information Technology Architect.   Location: Alpharetta, GA or Secaucus, NJ Position Type: Contract   - As a senior infrastructure architect - Data Analytics (Management Service) we are looking for someone who has broad knowledge is most of the areas. -We we are using the Tableau, Spotfire , R, MS PowerBI in our environment. - We have applications designed using start of the art technology hosted in an enterprise grade data centers. - Review functional and nonfunctional requirements for new systems and enhancements, to identify gaps and inconsistencies, and translate these into requirements for infrastructure build-out. - Architect Infrastructure solutions with no single points of failure.  - Including architecting failover solutions across multiple data centers. - Lead new technology integration via requirements analysis, design, and implementation. - Make recommendations and support implementations of new tools and technologies. - Engage with firm's operations teams and third party vendors on an as needed basis. - Oracle, SQL , .NET, Java, Windows, Linux, IIS, Websphere , Exchange, Lync, VMWare, Citrix, SAN, NAS, Converged network  - Act as the primary technical support resource to projects. - Assist in providing analyses of new and different technologies and in recommending efficient and cost-effective solutions to meet specific technical or business requirements. - Coordinate the activities of specific projects related to department or team initiatives. - Gather and analyze information for developing and modifying IT systems and recommend the use of specific methods and techniques to facilitate development.   Experience/Required Skills:   - Approximately 4-6 years of experience in information systems architecture methodologies - Knowledge of systems architecture   - Good interpersonal, communication, consultative, and organizational skills - Ability to work and team effectively with clients, management and its staff members   Education:   - A bachelor's degree in Computer Science or a related discipline, or equivalent work experience"
100,SWIFT Messaging Specialist,"Our client, one of the largest banking and financial services organizations in the world, is seeking a SWIFT M essaging Specialist .   Location: New york Position Type: Contract   Below are our requirements: Basic knowledge of Corporate Actions Knowledge of SWIFT messaging – especially MT566 (confirmation of payment of Corp action) Develop End to end process mapping / procedure for this MT566 ."
101,Technician-Systems,"If you are interested in this opportunity, I can be reached by phone at (630) 592-0390.Send  martin at msrcosmos . com ReQ #1  Position Title: Technician-Systems - IIIDuration: : 1 yearLocation: -Richardson-TX Description: SMTS (Sr. Member of Tech. Staff) Responsibilities:Work with various Verizon Network and Application Planning teams (who are Virtual Network Function owners) from business units such as VES, VzT and VzW to develop VNF and Service Descriptors to onboard and lifecycle manage the VNFs on OpenStack based Verizon Cloud Platform (VCP).Build a catalog of operationally ready VNFs and Services to operational ready state using automated Continuous Integration/Continuous Delivery tool chain.Assist in gap analysis of Orchestration and CI/CD tool chain with a goal of create a stable repeatable platform that can be integrated with customer facing portals as well as VNF vendors. Qualifications:Development experience with Orchestration or VNF Manager in product planning and design within a start-up or larger organization.Detailed understanding of OpenStack based Cloud Platforms.Detailed understanding of NFV and SDN products, technologies, architectures, and vendorsHands-on development experience in a majority of following areas:• OpenStack CLI commands and administration• Linux/Unix scripting especially for TCP/IP stack, Firewalls (iptables), DNS, VPNs etc• Programming aptitude in Python, Java scripts, SOAP, Ruby, PHP• API development based on JSON, XML• Experience with server provisioning using cloud-init and cloud config• Experience with TOSCA and YAML based file formats• Experience with HOT Template and OVF based VNF descriptors• Experience onboarding VNFs on to NFV Orchestrators such as NFV Director and Ericsson Cloud Manager• Experience with deployment or use of configuration management tools such as Puppet, Chef, or Ansible, Jenkins• Familiarity with network device configuration and management (Juniper, Cisco) with NetConf network configuration protocol and YANG data model• Experience with CLI configuration of Cisco, HP, or Juniper switches and routers, Palo Alto firewalls, f5 load balancers Demonstrated analytical skills, written and oral communications skills and the ability to work in a team environmentTime management skills - must be self-motivated and able to multitaskExperience leading cross-functional teamsPreferred additional qualifications:• Experience with Cisco, HP, or Juniper switches, routers, Palo Alto firewalls, f5 load balancers• Networking services consisting of Virtual and Physical Network Functions• Familiarity or experience with Software Defined Networking principals or system• NFV Orchestrators – Cloudify, Ericsson Cloud Manager, HPE NFV-Director, HPE Service DirectorKnowledge of wireless network – LTE, IMS, MPN-------------------*******************----------------------Req#2Role: Java Developer with UIM / UIM developer with Core javaLocation: St Louis, MODuration: Long Term Details:Oracle provisioning experienceUIM development experienceAbility to resolve issues by analyzing log files and reviewing solution cartridgesCandidate should know UIM best practices and provide oversight to Customer resources.Candidate should have provisioning experience in supporting and using tools like sigma and/or UIM·         Have an intermediate level of understanding of Oracle relational databases and SQL/PlSQL programmingWork alongside Professional Services team in new implementationsDocument service request changes an processes ThanksMartin MSRCOSMOSMartin at msrcosmos . com  call me  630-592-0390"
102,Angular JS / SOA / Web Developer w/ Middleware,"Our client, one of the largest commercial, property & casualty insurers in the US, is seeking an Angular/ JS/ SOA/ Web Developer w/ Middleware .   Location: Chicago, IL Position Type: Contract   -Well known experience in overseeing and implementations of following technologies -Angular JS - Design Implement Angular JS directives -Persistence frameworks -Rules framework -NoSQL Integrations 5. JSON/XML Experience, Webservices and SOA architecture ( SOAP,REStFUL , JSON,MQ Services) -Building functional/technical reusable assets -Well verse with open source frameworks ( Solr , Logging, Spring) -Provide best practices and guide the development teams -Well versed with WEB 2.0 technologies (Bootstrap, Jquery , etc..) and portal technologies, Mobile UI knowledge -Create high level design to the development team -Understand the integrations with Enteprise products and provide direction to development team -Perform quick POC with Opensource frameworks -Knowledge about the security frameworks/technologies (SSL, OAUTH, LDAP Lookup etc.. ) -Java 1.7 and J2EE latest - Middlware technologies (IBM Websphere / JBoSS /Tomcat, MQ, IBM ESB-IIB/WMB) -SCM Skills (Maven/ Gradle ) -Good communication skills -Some GuideWire Experience who can dig into some of the details with help of GW folks"
104,Soarian Clinicals Consultant (Cerner),"Point of Sale System Help Desk Manager opportunity Looking for a Help Desk Manager to oversee team supporting POS systems as well as Windows environment. Requirements: Solid experience managing or supervising a help desk team Extensive POS Systems experience and knowledge Windows 7/10 Excellent team management skills Strong communication and intepersonal skills ================================================================================ =========================== KEYWORDS: POS, Point of Sale, HelpDesk Manager, Service Desk Manager, Call Center Manager, Technical Support Manager, Point of Sale Systems, Toast, Revel, Retalix, NCR, Aloha, ________________________________________________________________________________ ___________________________ If you are qualified and interested in this position, please submit your resume with 2-3 manager references. Southern California residents will be given first consideration for this position. Third party candidates and candidates requiring visa sponsorship will not be considered for this position. CONFIDENTIALITY: P. Murphy & Associates (PMA) ensures your resume will NEVER be posted and we will not send your resume to any of our clients without your consent. You will only receive contact from PMA and your information will NOT be shared with any third parties. Occasionally, PMA may send you emails regarding new positions in your area.Please ask for:Josephine Holm and refer to job#019278-For More Job Openings Visit our Web Site at: www.PMurphy.com"
106,Java Developer,"Trigyn's direct financial client has an immediate opening for Java Developer in Montreal, Canada.Skills Required: Java Unix XML SQLSkills Desired: Previous finance experience Spring Soap MQ or alternativesDB2 or Sybase exposure Perl/Bash/Ksh scripting Jira/Perforce/Git/Eclipse Global working experience Excellent communication skills Education Level : Bachelor's Degree.NO THIRD PARTY CANDIDATES PERMITTED.PLEASE RESPOND ONLY IF YOU ARE CURRENTLY ELIGIBLE TO WORK IN CANADA.TRIGYN TECHNOLOGIES, INC. is an EQUAL OPPORTUNITY EMPLOYER and has been in business for 30 years. TRIGYN is an ISO 9001:2008, ISO 27001:2013 (ISMS) and CMMI Level 3 certified company. TRIGYN is an E-Verify* Employer."
107,SQL Web Application Developer,"SQL Web Application Developer The Database Developer is primarily focused on the design and evolution of our data schema, streamlining data operations, tuning the database for peak performance, and developing and maintaining database scripts. The position will develop robust database scripts that support needed database model/data changes, as well as ensure scripts will execute successfully in different software life cycle environments. The position will also identify performance improvements for various database changes proposed by the software development staff, and will work closely with operational staff to make sure that database changes are applied correctly and help with verifying and resolving database issues.ESSENTIAL Job Duties & ResponsibilitiesDesign and develop SQL database scripts. Develop processes to manage database DDL & DML changes.Design and deploy data table structures, forms, reports, and queries.Produce ad-hoc queries and develop reports to support business needs.Mentor development staff on database changes.Review database change requests by development and operational staff.Provide support in resolving database issues in various software life cycle environments.Work closely with software development engineers, QA testers and cross-functional teams to build robust database changes.Identify and determine solutions to obstacles during the major release or patch deployments.Own and drive database development best practices, procedures and standards and apply to the development process.Participate in the research and evaluation of new/additional software tools to assist database development.Communicate issues and concerns to appropriate parties based on analysis and defects.Provide ad hoc assistance as needed.Local candidates only please!!Skills & ExperienceBachelor’s degree in Engineering, Computer Science, MIS a related IT field, or equivalent work experience. Industry certifications related to this position a plus.Minimum of five years of relational database development experience. Proficient in database development for Oracle or MySQL or equivalent database.Must have advanced knowledge of SQL scripting and execution.Minimum of 2 years of experience with data migration that support database DDL changes.Strong problem solving and analytical skills (defect analysis and reporting).2 years of Database tuning experience.Must be conversant with modern relational database development tools and practices.Experience with agile development processes in startup companies is strongly preferred.Ability to support and work in a diverse team environment.Strong written and communication skills; ability to articulate complex ideas clearly and effectively.Ability to manage multiple tasks, priorities, and responsibilities in a dynamic environment.Experience working with senior management, vendor partners, and external expert consultants.Ability to work under pressure, on multiple assignments, with strong attention to detail.Ability to conduct meetings, evaluate issues, provide solutions, and drive aggressive timelines.PC and desktop applications competency (e.g., Microsoft Office, email, etc.).Good time management skills and the ability to work to tight deadlines."
